 StudyId                          ,t1,t2,outcome,sd
1,7,6,-0.76,0.29
2,7,6,-0.7,0.25
3,8,6,0.5,0.41
4,8,6,0.1,0.15
5,1,6,0.6,0.22
6,1,6,0.317,0.2
7,1,6,0.53,0.26
8,1,6,0.86,0.3
9,1,6,0.19,0.07
10,2,6,0.48,0.41
11,2,6,0.23,0.29
12,2,6,0.43,0.23
13,3,6,-0.3,0.34
14,8,7,-0.93,0.49
15,8,7,-2.45,0.17
16,8,7,-1,0.34
17,8,7,-1.61,0.29
18,8,7,-0.6,0.33
19,8,7,-0.4,0.25
22,1,7,-1.25,0.33
23,2,7,-0.4,0.52
24,2,7,-1.4,0.3
25,2,7,-1.29,0.47
26,2,7,-0.2,0.48
28,5,7,0.02,0.32
29,5,7,0.42,0.27
