 StudyId                          ,t1,t2,outcome,sd
1,7,6,-0.44,0.27
2,7,6,-0.52,0.22
3,8,6,-0.4,0.29
4,8,6,-0.2,0.21
5,1,6,0.9,0.43
6,1,6,0.28,0.23
7,1,6,0.07,0.25
8,1,6,0.91,0.44
9,1,6,0.93,0.24
10,2,6,1.23,0.38
11,2,6,0.08,0.16
12,2,6,1,0.48
13,3,6,-0.2,0.35
14,8,7,-0.01,0.23
15,8,7,-0.6,0.21
16,8,7,-0.9,0.26
17,8,7,0,0.37
18,8,7,-0.4,0.24
19,8,7,-0.2,0.27
22,1,7,-1.17,0.39
23,2,7,-0.5,0.29
24,2,7,-0.2,0.35
25,2,7,0.29,0.22
26,2,7,-1.4,0.41
28,5,7,-0.39,0.16
29,5,7,0.59,0.85
