 Study                           ,t1.no,t2.no,CRC,sd,RecRed,sd,CALgain,sd,Ktgain,sd
 da Silva et al. (2004)          ,7,6,0.8,1.15,0.44,0.27,0.32,0.38,0.76,0.29
 Cortellini et al. (2009)        ,7,6,0.93,0.45,0.52,0.22,0.4,0.22,0.7,0.25
 Lins et al. (2003)              ,8,6,NA,NA,-0.4,0.29,-0.5,0.27,0.5,0.41
 Amarante et al. (2000) and Leknes et al. (2005) ,8,6,-0.54,0.65,-0.2,0.21,-0.2,0.24,0.1,0.15
 Modica et al. (2000)            ,1,6,0,1,0.9,0.43,0.9,0.43,0.6,0.22
 Spahr et al. (2005)             ,1,6,1.32,0.5,0.28,0.23,0.49,0.27,0.317,0.2
 Del Pizzo et al. (2005)         ,1,6,1.61,1.55,0.07,0.25,0.2,0.22,0.53,0.26
 Castellanos et al. (2006)       ,1,6,NA,NA,0.91,0.44,0.97,0.56,0.86,0.3
 Pilloni et al. (2006)           ,1,6,2.57,0.94,0.93,0.24,0.74,0.25,0.19,0.07
 Woodyard et al. (2004)          ,2,6,3.09,1.21,1.23,0.38,0.48,0.41,0.48,0.41
 Córtes et al. (2004) and Córtes et al. (2006) ,2,6,0,1.29,0.08,0.16,0.19,0.27,0.23,0.29
 Mahajan et al. (2007)           ,2,6,NA,NA,1,0.48,NA,NA,0.43,0.23
 Huang et al. (2005)             ,3,6,0.22,0.86,-0.2,0.35,-0.5,0.58,-0.3,0.34
 Jepsen et al. (1998)            ,8,7,0,0.82,-0.01,0.23,-0.03,0.27,-0.93,0.49
 Zucchelli et al. (1998)         ,8,7,-1.39,0.61,-0.6,0.21,0.1,0.22,-2.45,0.17
 Trombelli et al. (1998)         ,8,7,-2.58,1.08,-0.9,0.26,-0.6,0.27,-1,0.34
 Borghetti et al. (1999)         ,8,7,0,0.73,0,0.37,0.15,0.44,-1.61,0.29
 Tatakis & Trombelli (2000)      ,8,7,-1.95,1.51,-0.4,0.24,-0.2,0.22,-0.6,0.33
 Wang et al. (2001)              ,8,7,0,0.82,-0.2,0.27,0.4,0.27,-0.4,0.25
Romagna-Genon (2001),8,7,NA,NA,NA,NA,NA,NA,NA,NA
 McGuire & Nunn (2003)           ,1,7,0.84,0.83,NA,NA,NA,NA,NA,NA
 Abolfazli et al. (2009)         ,1,7,0.41,0.91,-1.17,0.39,-2.29,0.26,-1.25,0.33
 Aichelmann-Reidy et al. (2001)  ,2,7,-0.76,0.55,-0.5,0.29,-0.1,0.28,-0.4,0.52
Paolantonio et al. (2002),2,7,-0.88,0.78,-0.2,0.35,-0.27,0.41,-1.4,0.3
Tal et al. (2002),2,7,0,0.82,0.29,0.22,0.07,0.34,-1.29,0.47
Joly et al. (2007),2,7,-2.2,1.49,-1.4,0.41,-1.4,0.4,-0.2,0.48
Wilson et al. (2005) ,4,7,0,2,NA,NA,NA,NA,NA,NA
McGuire & Scheyer (2010),5,7,-2.4,1.48,-0.39,0.16,-0.59,0.25,0.02,0.32
Cardaropoli et al. (2012) ,5,7,-0.69,1.32,0.59,0.85,-0.87,0.52,0.42,0.27
